[RowNum],[loss] 
1,0.047623022
2,0.051679501
3,0.036412322
4,0.081055342
5,0.157133193
6,0.125445331
7,0.034427085
8,0.042885572
9,0.202966929
10,0.167418809
11,0.128628335
12,0.089565554
13,0.359593142
14,0.165681877
15,0.337689699
16,0.203668381
17,0.204566258
18,0.245019508
19,0.275660003
20,0.365478516
21,0.265624549
22,0.260220473
23,0.180612954
24,0.305651382
25,0.11518984
26,0.174362698
27,0.149178243
28,0.349434981
29,0.258069384
30,0.30488714
31,0.548025389
32,0.213174362
33,0.155868394
34,0.204758949
35,0.305926081
36,0.198364073
37,1.283731088
38,66.47941903
39,69.14158217
40,68.80657032
41,55.39525409
42,71.50789887
43,84.96727885
44,60.21428264
45,45.95461547
46,58.5361791
47,30.41531959
48,51.70943877
49,176.9535368
50,96.78252121
51,69.06523289
52,102.8840044
53,84.1092951
54,80.64967571
55,80.03750722
56,70.52312271
57,70.95042146
58,85.14593797
59,196.7918468
60,74.63097081
61,82.80637967
62,57.09471132
63,60.16322495
64,77.45799238
65,82.88817446
66,77.53157562
67,80.60378396
68,92.67304491
69,62.53342237
70,99.08454916
71,43.25283013
72,131.7224821
73,57.50468848
74,53.35114994
75,60.88021403
76,171.6599613
77,73.82228928
78,84.74566234
79,183.8382624
80,95.29877013
81,122.9399276
82,53.02396136
83,36.41382691
84,46.65329211
85,54.02592944
86,68.79913905
87,89.58246092
88,180.3228886
89,43.08036635
90,51.31580062
91,NaN
92,NaN
93,NaN
94,NaN
95,NaN
96,NaN
97,NaN
98,NaN
99,NaN
100,NaN
101,NaN
102,NaN
103,NaN
104,NaN
105,NaN
106,NaN
107,NaN
108,NaN
109,NaN
110,NaN
111,NaN
112,NaN
113,NaN
114,NaN
115,NaN
116,NaN
117,NaN
118,NaN
119,NaN
120,NaN
121,NaN
122,NaN
123,NaN
124,NaN
125,NaN
126,NaN
127,NaN
128,NaN
129,NaN
130,NaN
131,NaN
132,NaN
133,NaN
134,NaN
135,NaN
136,NaN
137,NaN
138,NaN
139,NaN
140,NaN
141,NaN
142,NaN
143,NaN
144,NaN
145,NaN
146,NaN
147,NaN
148,NaN
149,NaN
150,NaN
151,NaN
152,NaN
153,NaN
154,NaN
155,NaN
156,NaN
157,NaN
158,NaN
159,NaN
160,NaN
161,NaN
162,NaN
163,NaN
164,NaN
165,NaN
166,NaN
167,NaN
168,NaN
169,NaN
170,NaN
171,NaN
172,NaN
173,NaN
174,NaN
175,NaN
176,NaN
177,NaN
178,NaN
179,NaN
180,NaN
181,NaN
182,NaN
183,NaN
184,NaN
185,NaN
186,NaN
187,NaN
188,NaN
189,NaN
190,NaN
191,NaN
192,NaN
193,NaN
194,NaN
195,NaN
196,NaN
197,NaN
198,NaN
199,NaN
200,NaN
201,NaN
202,NaN
203,NaN
204,NaN
205,NaN
206,NaN
207,NaN
208,NaN
209,NaN
210,NaN
211,NaN
212,NaN
213,NaN
214,NaN
215,NaN
216,NaN
217,NaN
218,NaN
219,NaN
220,NaN
221,NaN
222,NaN
223,NaN
224,NaN
225,NaN
226,NaN
227,NaN
228,NaN
229,NaN
230,NaN
231,NaN
232,NaN
233,NaN
234,NaN
235,NaN
236,NaN
237,NaN
238,NaN
239,NaN
240,NaN
241,NaN
242,NaN
243,NaN
244,NaN
245,NaN
246,NaN
247,NaN
248,NaN
249,NaN
250,NaN
251,NaN
252,NaN
253,NaN
254,NaN
255,NaN
256,NaN
257,NaN
258,NaN
259,NaN
260,NaN
261,NaN
262,NaN
263,NaN
264,NaN
265,NaN
266,NaN
267,NaN
268,NaN
269,NaN
270,NaN
271,NaN
272,NaN
273,NaN
274,NaN
275,NaN
276,NaN
277,NaN
278,NaN
279,NaN
280,NaN
281,NaN
282,NaN
283,NaN
284,NaN
285,NaN
286,NaN
287,NaN
288,NaN
289,NaN
290,NaN
291,NaN
292,NaN
293,NaN
294,NaN
295,NaN
296,NaN
297,NaN
298,NaN
299,NaN
300,NaN
301,NaN
302,NaN
303,NaN
304,NaN
305,NaN
306,NaN
307,NaN
308,NaN
309,NaN
310,NaN
311,NaN
312,NaN
313,NaN
314,NaN
315,NaN
316,NaN
317,NaN
318,NaN
319,NaN
320,NaN
321,NaN
322,NaN
323,NaN
324,NaN
325,NaN
326,NaN
327,NaN
328,NaN
329,NaN
330,NaN
331,NaN
332,NaN
333,NaN
334,NaN
335,NaN
336,NaN
337,NaN
338,NaN
339,NaN
340,NaN
341,NaN
342,NaN
343,NaN
344,NaN
345,NaN
346,NaN
347,NaN
348,NaN
349,NaN
350,NaN
351,NaN
352,NaN
353,NaN
354,NaN
355,NaN
356,NaN
357,NaN
358,NaN
359,NaN
360,NaN
361,NaN
362,NaN
363,NaN
364,NaN
365,NaN
366,NaN
367,NaN
368,NaN
369,NaN
370,NaN
371,NaN
372,NaN
373,NaN
374,NaN
375,NaN
376,NaN
377,NaN
378,NaN
379,NaN
380,NaN
381,NaN
382,NaN
383,NaN
384,NaN
385,NaN
386,NaN
387,NaN
388,NaN
389,NaN
390,NaN
391,NaN
392,NaN
393,NaN
394,NaN
395,NaN
396,NaN
397,NaN
398,NaN
399,NaN
400,NaN
401,NaN
402,NaN
403,NaN
404,NaN
405,NaN
406,NaN
407,NaN
408,NaN
409,NaN
410,NaN
411,NaN
412,NaN
413,NaN
414,NaN
415,NaN
416,NaN
417,NaN
418,NaN
419,NaN
420,NaN
421,NaN
422,NaN
423,NaN
424,NaN
425,NaN
426,NaN
427,NaN
428,NaN
429,NaN
430,NaN
431,NaN
432,NaN
433,NaN
434,NaN
435,NaN
436,NaN
437,NaN
438,NaN
439,NaN
440,NaN
441,NaN
442,NaN
443,NaN
444,NaN
445,NaN
446,NaN
447,NaN
448,NaN
449,NaN
450,NaN
451,NaN
